ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR_2017-07-03-O1001_u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Macron, Emmanuel	M	1977
ParlaMint-FR_2017-07-03-O1001_u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u6	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u7	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Chairperson	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u8	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		Ferrand, Richard	M	1962
ParlaMint-FR_2017-07-03-O1001_u9	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u10	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Retailleau, Bruno	M	1960
ParlaMint-FR_2017-07-03-O1001_u11	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u12	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LR	Les Républicains		Duby-Muller, Virginie	F	1979
ParlaMint-FR_2017-07-03-O1001_u13	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u14	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Guillaume, Didier	M	1959
ParlaMint-FR_2017-07-03-O1001_u15	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u16	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	MODEM	Mouvement Démocrate et apparentés		Fesneau, Marc	M	1971
ParlaMint-FR_2017-07-03-O1001_u17	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Regular	MP	LAREM	La République en Marche		de Rugy, François	M	1973
ParlaMint-FR_2017-07-03-O1001_u18	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 03/07/2017	2017-07-03	2017-07-03	Lower house		O1		1		Reference	Guest	notMP				Capo-Canellas, Vincent	M	1967
