ParlaMint-GB_2015-01-05-commons.u1	1. What progress her Department has made on implementing exit checks at borders.
ParlaMint-GB_2015-01-05-commons.u2	The Government are on track to deliver their commitment to introduce exit checks on scheduled commercial international air, sea and rail routes by April 2015.
ParlaMint-GB_2015-01-05-commons.u3	It is clear that exit checks, which were scrapped by the previous Labour Government, are a critical part of any competent immigration system. I know that progress has been made, but how sure is the Home Secretary that she will hit the target of 100% exit checks by March?
ParlaMint-GB_2015-01-05-commons.u4	As I indicated in my original answer, we are on track to ensure that we have exit checks in place by April 2015. My right hon. Friend is absolutely right to mention the significance of exit checks in the immigration system, and I would like to pay tribute to my right hon. Friends the Minister for Government Policy and Chancellor of the Duchy of Lancaster and the Minister for Schools who have together been supporting the Home Office to ensure that we can meet our commitment.
ParlaMint-GB_2015-01-05-commons.u5	19. Given the situation at our border in Calais, does the Home Secretary regret scrapping fingerprinting, which used to help us to identify and deport those who were trying to enter our country illegally night after night?
ParlaMint-GB_2015-01-05-commons.u6	We are doing a great deal of work with the French authorities in relation to the situation at Calais. The hon. Gentleman mentions fingerprinting, and it is important that those who are coming to Calais and trying to get across to the United Kingdom should be fingerprinted when they first enter the European Union. In most cases, they are coming in through Italy.
ParlaMint-GB_2015-01-05-commons.u7	But what is the Home Secretary doing to identify the 50,00 failed asylum seekers that the Public Accounts Committee has said her Department has failed to identify?
ParlaMint-GB_2015-01-05-commons.u8	I think it is a bit rich for Labour Members to stand up in the Chamber and complain about the immigration system when many of the problems that we are dealing with have been inherited from the last Labour Government’s failed immigration policy.
ParlaMint-GB_2015-01-05-commons.u9	Does my right hon. Friend accept that the problem of illegal immigrants does not exist only in the locale of Calais? There is ample evidence that many of them are getting into lorries as far afield as Spain, and this is particularly affecting lorries bringing fresh food into this country, as their whole load has to be condemned when the immigrants are discovered. Is she aware that our retail sector is becoming increasingly worried about fresh food supplies? Will she meet me and representatives of the industry to discuss ways of getting on top of this issue?
ParlaMint-GB_2015-01-05-commons.u10	I am certainly happy for either I or the Immigration Minister to meet my right hon. Friend and representatives of the industry. We are aware of this issue, and we are looking to introduce an improved ability to identify people in lorries when they pass through our juxtaposed controls in Calais, but as my right hon. Friend has said, the problem is that those people are often getting into the lorries further afield. Also, even if we find them at Calais, the load is still considered to have been damaged and contaminated.
ParlaMint-GB_2015-01-05-commons.u11	2. What assessment she has made of the effect of city deals and other forms of devolution on the future of police commissioners.
ParlaMint-GB_2015-01-05-commons.u12	16. Whether her Department plans to devolve police oversight functions to city mayors outside London.
ParlaMint-GB_2015-01-05-commons.u13	With permission, Mr Speaker, I shall answer questions 2 and 16 together Police and crime commissioners have brought direct accountability and localism to policing in this country, and, as we have seen in London, incorporating the role of the PCC in mayoral devolution has worked really well, especially under this excellent London Mayor.
ParlaMint-GB_2015-01-05-commons.u14	I have to say that I have received no request for the grouping of questions 2 and 16, but we will see what we can do if the Minister continues to smile nicely.
ParlaMint-GB_2015-01-05-commons.u15	I thank the Minister for that response. Given the terms of the Manchester city deal, does he agree that police and crime commissioners could become surplus to requirements? Would not culling them result in useful savings?
ParlaMint-GB_2015-01-05-commons.u16	No; the police and crime commissioners are doing an excellent job. They bring accountability. The only bid to incorporate the PCC role at the moment is the bid from Manchester, and I look forward to seeing it working on the ground.
ParlaMint-GB_2015-01-05-commons.u17	How will these arrangements work in the north-east of England, which has one economic zone—incorporating Durham, Northumberland and Tyne and Wear—but two police authorities and two police and crime commissioners? Does the Home Office propose to merge the police authorities and their commissioners or to transfer their functions to a new individual?
ParlaMint-GB_2015-01-05-commons.u18	It is entirely up to the local community to decide what it wants. If we look at other parts of the country, we can see that West Mercia and Warwickshire are working closely together. If the police authorities in the right hon. Gentleman’s area wanted to merge, they would need to put their business plan to us. It is not only the big cities that could come together; such proposals could involve rural areas as well.
ParlaMint-GB_2015-01-05-commons.u19	Does the Minister recognise that the police and crime commissioners can work only within the resources and policy frameworks that are set nationally? Will he take this opportunity to support community policing and to reject the ridiculous suggestion from Tom Winsor that the police should ignore offences such as shoplifting and antisocial behaviour?
ParlaMint-GB_2015-01-05-commons.u20	We will make sure that local communities decide what sort of policing goes on in their area, and PCCs have the role of making sure that is happening. There are excellent Labour and Conservative PCCs around the country, and I cannot understand why the Labour party wants to get rid of its own people who are doing a good job.
ParlaMint-GB_2015-01-05-commons.u21	3. What steps she is taking to improve the approach of the police to working with people with mental health problems.
ParlaMint-GB_2015-01-05-commons.u22	6. What steps she is taking to improve the approach of the police to working with people with mental health problems.
ParlaMint-GB_2015-01-05-commons.u23	13. What steps she is taking to improve the approach of the police to working with people with mental health problems.
ParlaMint-GB_2015-01-05-commons.u24	17. What steps she is taking to improve the approach of the police to working with people with mental health problems.
ParlaMint-GB_2015-01-05-commons.u25	We have taken a number of significant steps in this area: we have launched schemes including street triage, and liaison and diversion; we have reviewed the Mental Health Act 1983; and we have introduced an agreement supported by more than 20 partners nationally to improve the way the police and their partners deal with people with mental health problems. Police cells are now being used less frequently as a place of safety, and I am pleased to say that our work is already having an impact.
ParlaMint-GB_2015-01-05-commons.u26	My right hon. Friend mentioned the successful street triage initiative. Health is a devolved competence in Wales, so what work is her Department doing with the Welsh health authorities to ensure an efficient system of street triage there?
ParlaMint-GB_2015-01-05-commons.u27	I am grateful to my right hon. Friend for pointing out that of course this matter has a different relevance in relation to Wales and the Welsh health authorities. We are working on health and policing with the Welsh Government, Welsh PCCs and the chief constables to spread best practice, but I am pleased to say that, through the non-devolved police aspects of this national work programme, funding from the Home Office innovation fund is supporting a pilot triage scheme in Dyfed-Powys—the first such initiative in Wales. It is another example of the benefits of PCCs, because it has been championed by Chris Salmon, the PCC there.
