,Character,movie_number,spacy_tokens,identified_names,character_counts
0,ARAGOG,film 2,hagrid,Nicholas de Mimsy-Porpington,16
1,ARAGOG,film 2,hagrid,Rubeus Hagrid,64
2,AUNT MARGE,film 3,petunia,Nicholas de Mimsy-Porpington,6
3,AUNT MARGE,film 3,petunia,Petunia Dursley,9
4,AUNT MARGE,film 3,petunia,Vernon Dursley,9
5,AUNT MARGE,film 3,vernon,Nicholas de Mimsy-Porpington,10
6,AUNT MARGE,film 3,vernon,Petunia Dursley,15
7,AUNT MARGE,film 3,vernon,Vernon Dursley,15
8,AUNT PETUNIA,film 3,harry,Harry James Potter,6
9,AUNT PETUNIA,film 3,harry,Marge Dursley,3
10,AUNT PETUNIA,film 3,harry,Vernon Dursley,3
11,AUNT PETUNIA,film 3,marge,Harry James Potter,2
12,AUNT PETUNIA,film 3,marge,Marge Dursley,1
13,AUNT PETUNIA,film 3,marge,Vernon Dursley,1
14,AUNT PETUNIA,film 3,vernon,Harry James Potter,2
15,AUNT PETUNIA,film 3,vernon,Marge Dursley,1
16,AUNT PETUNIA,film 3,vernon,Vernon Dursley,1
17,BEM,film 3,black,Nicholas de Mimsy-Porpington,1
18,BEM,film 3,black,Regulus Arcturus Black,1
19,BEM,film 3,black,Sirius Black,1
20,BOY 1,film 3,harry,Harry James Potter,1
21,Barkeep Tom,film 1,hagrid,Albus Severus Potter,1
22,Barkeep Tom,film 1,hagrid,Harry James Potter,1
23,Barkeep Tom,film 1,hagrid,James Potter,1
24,Barkeep Tom,film 1,hagrid,James Sirius Potter,1
25,Barkeep Tom,film 1,hagrid,Lily J. Potter,1
26,Barkeep Tom,film 1,hagrid,Rubeus Hagrid,1
27,Barkeep Tom,film 1,harry,Albus Severus Potter,1
28,Barkeep Tom,film 1,harry,Harry James Potter,1
29,Barkeep Tom,film 1,harry,James Potter,1
30,Barkeep Tom,film 1,harry,James Sirius Potter,1
31,Barkeep Tom,film 1,harry,Lily J. Potter,1
32,Barkeep Tom,film 1,harry,Rubeus Hagrid,1
33,Barkeep Tom,film 1,potter,Albus Severus Potter,1
34,Barkeep Tom,film 1,potter,Harry James Potter,1
35,Barkeep Tom,film 1,potter,James Potter,1
36,Barkeep Tom,film 1,potter,James Sirius Potter,1
37,Barkeep Tom,film 1,potter,Lily J. Potter,1
38,Barkeep Tom,film 1,potter,Rubeus Hagrid,1
